01.ט‏כ.15,100
02.ט‏כ.15,1005
03.ט‏כ.15,101
04.ט‏כ.15,1015
05.ט‏כ.15,102
06.ט‏כ.15,1025
07.ט‏כ.15,103
08.ט‏כ.15,1035
09.ט‏כ.15,104
10.ט‏כ.15,1045
11.ט‏כ.15,105
12.ט‏כ.15,1055
13.ט‏כ.15,106
14.ט‏כ.15,1065
15.ט‏כ.15,107
16.ט‏כ.15,1075
17.ט‏כ.15,108
18.ט‏כ.15,1085
19.ט‏כ.15,109
20.ט‏כ.15,1095
21.ט‏כ.15,110
22.ט‏כ.15,1105
23.ט‏כ.15,111
24.ט‏כ.15,1115
25.ט‏כ.15,112
26.ט‏כ.15,1125
27.ט‏כ.15,113
28.ט‏כ.15,1135
29.ט‏כ.15,114
30.ט‏כ.15,1145
31.ט‏כ.15,115
01.אגד.15,1155
02.אגד.15,116
03.אגד.15,1165
04.אגד.15,117
05.אגד.15,1175
06.אגד.15,118
07.אגד.15,1185
08.אגד.15,119
09.אגד.15,1195
10.אגד.15,120
11.אגד.15,1205
12.אגד.15,121
13.אגד.15,1215
14.אגד.15,122
15.אגד.15,1225
16.אגד.15,123
17.אגד.15,1235
18.אגד.15,124
19.אגד.15,1245
20.אגד.15,110
21.אגד.15,1105
22.אגד.15,111
23.אגד.15,1115
24.אגד.15,112
25.אגד.15,1125
26.אגד.15,113
27.אגד.15,1135
28.אגד.15,114
29.אגד.15,1145
30.אגד.15,115
31.אגד.15,1155
01.סום.15,116
02.סום.15,1165
03.סום.15,117
04.סום.15,1175
05.סום.15,118
06.סום.15,1185
07.סום.15,119
08.סום.15,1195
09.סום.15,120
10.סום.15,1205
11.סום.15,110
12.סום.15,1105
13.סום.15,111
14.סום.15,1115
15.סום.15,112
16.סום.15,1125
17.סום.15,113
18.סום.15,1135
19.סום.15,114
20.סום.15,1145
21.סום.15,115
